,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1079,Lastelauluplaat “Sajab arbuuse”,https://www.hooandja.ee/projekt/lastelauluplaat-sajab-arbuuse,Külliki Levin Muusika,Muusika,https://www.hooandja.ee/users/kullikilevin,116,3700,2013
1077,Lastelaulude plaat Mäng on väikese inimese töö,https://www.hooandja.ee/projekt/mang-vaikese-inimese-too,Martin Heinla Muusika,Muusika,https://www.hooandja.ee/users/martin12,112,3370,2013
1078,"Kammerkoor Head Ööd, Vend uus helikandja",https://www.hooandja.ee/projekt/head-ood-vend-kammerkoori-cd,"Kammerkoor Head Ööd, Vend Muusika",Muusika,https://www.hooandja.ee/users/sirlenr,122,2189,2013
1076,"Mc Rääbs ja lugu ""320 pilti""",https://www.hooandja.ee/projekt/mc-raabs-ja-320-pilti,Rait Press Muusika,Muusika,https://www.hooandja.ee/users/emsiiraabs,123,395,2013
1075,Jaan Tätte juuniori debüütalbum,https://www.hooandja.ee/projekt/jaan-tatte-juuniori-debuutalbum,meisterjaan Muusika,Muusika,https://www.hooandja.ee/users/meisterjaan,107,1604,2013
1072,Mobiilirakendus ÕpimeSõnu lastele sõnade õpetamiseks,https://www.hooandja.ee/projekt/opime-sonu-mobiilrakendus,Kaarel Kont-Kontson Mäng,Mäng,https://www.hooandja.ee/users/kaarelkk,101,704,2013
1073,Priit Jäägeri esimene sooloplaat,https://www.hooandja.ee/projekt/priit-jaageri-esimene-sooloplaat,Priit Jääger Muusika,Muusika,https://www.hooandja.ee/users/priitjagger,117,2330,2013
1074,NimmerSchmidti debüütalbum,https://www.hooandja.ee/projekt/nimmerschmidti-debuutalbum,NimmerSchmidt Muusika,Muusika,https://www.hooandja.ee/users/merilyn-merisalu,108,1625,2013
1071,Lauamäng „Riigimehed“,https://www.hooandja.ee/projekt/lauamang-riigimehed,Õ-Fraktsioon Mäng,Mäng,https://www.hooandja.ee/users/andres15,209,10447,2013
1069,"""Tõde ja õigus"" inglise keeles",https://www.hooandja.ee/projekt/tode-ja-oigus-inglise-keeles,Luis de Miranda Trükis,Trükis,https://www.hooandja.ee/users/hauteculturebooks,107,4265,2013
1070,Aleksandra Tšoba esimene luulekogu,https://www.hooandja.ee/projekt/aleksandra-tsoba-esimene-luulekogu,Aleksandra Tšoba Trükis,Trükis,https://www.hooandja.ee/users/aleksandratsoba,109,764,2013
1068,Mart Soo autoriplaat „Kulg“,https://www.hooandja.ee/projekt/mart-soo-autoriplaat-kulg,Mart Soo Muusika,Muusika,https://www.hooandja.ee/users/martsoo,107,2349,2014
1067,"Triinu Tauli esimene sooloalbum ""MAA HÄÄL""",https://www.hooandja.ee/projekt/triinu-tauli-esimene-sooloalbum-maa-haal,Triinu Taul Muusika,Muusika,https://www.hooandja.ee/users/triinutaul,107,3760,2014
1066,Pae Kollektiivi esimene plaat!,https://www.hooandja.ee/projekt/pae-kollektiivi-esimene-plaat,Kirke Karja Muusika,Muusika,https://www.hooandja.ee/users/kirkekarja,110,2541,2014
1064,Estonian Folk Orchestra helikandja Imemaa - Wonderland,https://www.hooandja.ee/projekt/estonian-folk-orchestra-helikandja-imemaa-wonderland,Tuulikki Bartosik Muusika,Muusika,https://www.hooandja.ee/users/115,109,3264,2014
